Step,Evader X,Evader Y,Pursuer X,Pursuer Y,Target X,Target Y,Obstacle4 X,Obstacle4 Y,Obstacle5 X,Obstacle5 Y,Obstacle6 X,Obstacle6 Y,Obstacle7 X,Obstacle7 Y,Obstacle8 X,Obstacle8 Y,Obstacle9 X,Obstacle9 Y,Obstacle10 X,Obstacle10 Y
1,0,1,0,5,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
2,0,0,0,4,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
3,0,1,0,3,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
4,1,1,0,2,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
5,1,1,0,1,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
6,1,0,1,1,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
7,2,0,1,0,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
8,2,1,2,0,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
9,2,2,2,1,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
10,3,2,2,2,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
11,4,2,3,2,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
12,5,2,4,2,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
13,6,2,5,2,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
14,6,3,6,2,6,3,4,4,1,2,5,1,3,0,3,3,3,6,1,3
